File,Line,Sentiment,SentimentScore
joebidencomprehend.csv,0,NEUTRAL,"{'Mixed': 0.00034001044696196914, 'Negative': 0.005866042338311672, 'Neutral': 0.9927507638931274, 'Positive': 0.001043205033056438}"
joebidencomprehend.csv,2,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,3,NEUTRAL,"{'Mixed': 0.0006478344439528883, 'Negative': 0.0015011794166639447, 'Neutral': 0.9913058876991272, 'Positive': 0.006545061711221933}"
joebidencomprehend.csv,4,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,8,NEUTRAL,"{'Mixed': 3.113982893410139e-05, 'Negative': 0.0008517289534211159, 'Neutral': 0.9972389936447144, 'Positive': 0.0018781655235216022}"
joebidencomprehend.csv,14,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,15,NEUTRAL,"{'Mixed': 0.0018315111519768834, 'Negative': 0.05874377116560936, 'Neutral': 0.9352713823318481, 'Positive': 0.004153335466980934}"
joebidencomprehend.csv,16,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,18,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,19,NEGATIVE,"{'Mixed': 0.04185082018375397, 'Negative': 0.8337289690971375, 'Neutral': 0.11394736170768738, 'Positive': 0.010472857393324375}"
joebidencomprehend.csv,23,NEUTRAL,"{'Mixed': 0.0021523963660001755, 'Negative': 0.2147858589887619, 'Neutral': 0.7682020664215088, 'Positive': 0.014859671704471111}"
joebidencomprehend.csv,24,NEUTRAL,"{'Mixed': 0.00019264979346189648, 'Negative': 0.08592730015516281, 'Neutral': 0.9114516377449036, 'Positive': 0.0024283863604068756}"
joebidencomprehend.csv,25,NEUTRAL,"{'Mixed': 0.003021130571141839, 'Negative': 0.2009515017271042, 'Neutral': 0.7885165214538574, 'Positive': 0.007510888855904341}"
joebidencomprehend.csv,26,NEUTRAL,"{'Mixed': 0.00520396139472723, 'Negative': 0.07068822532892227, 'Neutral': 0.9190962314605713, 'Positive': 0.0050114854238927364}"
joebidencomprehend.csv,27,NEUTRAL,"{'Mixed': 0.0005047610029578209, 'Negative': 0.04185459017753601, 'Neutral': 0.9514686465263367, 'Positive': 0.0061720614321529865}"
joebidencomprehend.csv,37,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,46,NEUTRAL,"{'Mixed': 0.0002922377025242895, 'Negative': 0.000932553899474442, 'Neutral': 0.9620816111564636, 'Positive': 0.03669359162449837}"
joebidencomprehend.csv,48,NEUTRAL,"{'Mixed': 0.0002893245837185532, 'Negative': 0.03592921793460846, 'Neutral': 0.5080156922340393, 'Positive': 0.4557657539844513}"
joebidencomprehend.csv,49,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,54,NEUTRAL,"{'Mixed': 0.003990385215729475, 'Negative': 0.36928853392601013, 'Neutral': 0.6172151565551758, 'Positive': 0.009505918249487877}"
joebidencomprehend.csv,55,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,56,NEUTRAL,"{'Mixed': 0.0007142714457586408, 'Negative': 0.0022424745839089155, 'Neutral': 0.9923934936523438, 'Positive': 0.004649657756090164}"
joebidencomprehend.csv,57,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,58,NEUTRAL,"{'Mixed': 0.00026122003328055143, 'Negative': 0.02029319666326046, 'Neutral': 0.9689314365386963, 'Positive': 0.01051408052444458}"
joebidencomprehend.csv,59,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,60,NEUTRAL,"{'Mixed': 9.880968718789518e-05, 'Negative': 0.02613244019448757, 'Neutral': 0.9556691646575928, 'Positive': 0.018099578097462654}"
joebidencomprehend.csv,61,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,62,NEUTRAL,"{'Mixed': 0.0019005201756954193, 'Negative': 0.0011660559102892876, 'Neutral': 0.9899506568908691, 'Positive': 0.006982720922678709}"
joebidencomprehend.csv,63,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,64,NEGATIVE,"{'Mixed': 0.00015452159277629107, 'Negative': 0.654755711555481, 'Neutral': 0.3437482416629791, 'Positive': 0.0013414645800366998}"
joebidencomprehend.csv,65,NEUTRAL,"{'Mixed': 0.00845708791166544, 'Negative': 0.0048453230410814285, 'Neutral': 0.9741135239601135, 'Positive': 0.012584127485752106}"
joebidencomprehend.csv,66,NEUTRAL,"{'Mixed': 8.047961455304176e-05, 'Negative': 0.0015487124910578132, 'Neutral': 0.9878585338592529, 'Positive': 0.010512369684875011}"
joebidencomprehend.csv,5,NEUTRAL,"{'Mixed': 0.0004703069571405649, 'Negative': 0.00683881901204586, 'Neutral': 0.9879916310310364, 'Positive': 0.004699330311268568}"
joebidencomprehend.csv,9,NEUTRAL,"{'Mixed': 0.025300757959485054, 'Negative': 0.004221118055284023, 'Neutral': 0.5904846787452698, 'Positive': 0.3799935281276703}"
joebidencomprehend.csv,17,POSITIVE,"{'Mixed': 0.2445032000541687, 'Negative': 0.05831381678581238, 'Neutral': 0.31765472888946533, 'Positive': 0.3795282542705536}"
joebidencomprehend.csv,21,NEUTRAL,"{'Mixed': 0.002572311321273446, 'Negative': 0.04218800365924835, 'Neutral': 0.9485254287719727, 'Positive': 0.006714295130223036}"
