,tweet,filtered_tweets,label,score
0,"#Elecciones2020 | En #Florida: #JoeBiden dice que #DonaldTrump solo se preocupa por él mismo. El demócrata fue anfitrión de encuentros de electores en #PembrokePines y #Miramar. Clic AQUÍ ⬇️⬇️⬇️
⠀
🌐https://t.co/qhIWpIUXsT
_
#ElSolLatino #yobrilloconelsol https://t.co/6FlCBWf1Mi","elecciones2020  en florida joebiden dice que donaldtrump solo se preocupa por l mismo el demcrata fue anfitrin de encuentros de electores en pembrokepines y miramar clic aqu 

httpstcoqhiwpiuxst

elsollatino yobrilloconelsol httpstco6flcbwf1mi",neutral,0.8032588362693787
1,#HunterBiden #HunterBidenEmails #JoeBiden #JoeBidenMustStepDown https://t.co/9enmxWvePm,hunterbiden hunterbidenemails joebiden joebidenmuststepdown httpstco9enmxwvepm,neutral,0.8007935285568237
2,"@IslandGirlPRV @BradBeauregardJ @MeidasTouch This is how #Biden made his ! #TrumpIsNotAmerica !
https://t.co/uBqAFU86Ip","islandgirlprv bradbeauregardj meidastouch this is how biden made his  trumpisnotamerica 
httpstcoubqafu86ip",neutral,0.6381567120552063
3,@chrislongview Watching and setting dvr. Let’s give him bonus ratings!! #JoeBiden,chrislongview watching and setting dvr lets give him bonus ratings joebiden,neutral,0.5023520588874817
4,#censorship #HunterBiden #Biden #BidenEmails #BidenEmail #Corruption https://t.co/C6clrtshQl,censorship hunterbiden biden bidenemails bidenemail corruption httpstcoc6clrtshql,negative,0.5793246626853943
5,"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation","is this wrong cory bookers brilliant final questioning of trump nominee amy coney barrett httpstcogctvvll4cs
amyconeybarrett corybooker barrett booker trump kamalaharris joebiden scotus supremecourtconfirmation",neutral,0.7190873622894287
6,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?","in 2020 nypost is being censorship censored by twitter to manipulate a us election in favor of joebiden and against trump

but ccp from china or porn on twitter 

thats always been fine for jack vijaya dickc katies

marciadorsey is jack sick",negative,0.695939302444458
7,►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0, tell politicians to stick it with this free item  httpstcosua2fpnjts  2020 biden deomocrat election politician politics president republican trump vpdebate  freebiedepot httpstcoqtrw3emtd0,neutral,0.7972196340560913
8,#Biden https://t.co/qMs0PmUev5,biden httpstcoqms0pmuev5,neutral,0.764835774898529
9,"Proof  Bidens are crooked. Twitter will suspend me for sharing https://t.co/LUbPCbROEp
#Biden
#crookedBiden
#ukraniancollusion 
#Democrats
#HunterBidenEmails","proof  bidens are crooked twitter will suspend me for sharing httpstcolubpcbroep
biden
crookedbiden
ukraniancollusion 
democrats
hunterbidenemails",negative,0.8684978485107422
10,"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53","now open create a free us election pickem pool add some excitement to the potential chaos pick who you think will become president who will win the swing states the popular vote and more
httpstcow6fknaxvmt
maga2020 trump biden politics uselection2020 httpstconwnfizsy53",neutral,0.6215662360191345
11,"FBI Allegedly Obtained Hunter Biden Computer, Data on Ukraine Dealings, Report Claims #JoeBiden #HunterBiden https://t.co/pDNmB0NqRU",fbi allegedly obtained hunter biden computer data on ukraine dealings report claims joebiden hunterbiden httpstcopdnmb0nqru,neutral,0.716571033000946
12,#JoeBiden was the point man https://t.co/dOTKamtths,joebiden was the point man httpstcodotkamtths,neutral,0.7579485774040222
13,Y’all Just Locking Up Accounts Cause YALL Dont Want The Truth To Come Out About #Biden That’s Crazy Af https://t.co/uNvYFeVTU9,yall just locking up accounts cause yall dont want the truth to come out about biden thats crazy af httpstcounvyfevtu9,negative,0.865346372127533
14,@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,tedcruz cc125 trump2020 blm obama votered bidenharris2020 blacklivesmatter mikepence debates2020 kamalaharris kamalaharrisvp biden riots hunterbidden aoc trump ilhanomar gavinnewsom tedwheeler gretchenwhitmer gtgt this is only the begining its going to get worse httpstcojcccphwtgy,negative,0.8110801577568054
15,#IceCube isn’t a sellout how long are black people going to vote for Democrats and they do nothing for us look up what #Democrats really mean it means satan #JoeBiden admitted to #Pedophilia  #TRUMP2020ToSaveAmerica https://t.co/uAI1Iw07i5,icecube isnt a sellout how long are black people going to vote for democrats and they do nothing for us look up what democrats really mean it means satan joebiden admitted to pedophilia  trump2020tosaveamerica httpstcouai1iw07i5,negative,0.8935905694961548
16,"BREAKING — Twitter Safety account provides info on why they have taken action against #NYPost story / article link that discusses #JoeBiden and his son #HunterBiden.

#Censorship #Facebook #Maga https://t.co/53FSqcW6Cr","breaking  twitter safety account provides info on why they have taken action against nypost story  article link that discusses joebiden and his son hunterbiden

censorship facebook maga httpstco53fsqcw6cr",neutral,0.767325758934021
17,"Comments on this? ""Do Democrats Understand how Ruthless China is?"" https://t.co/QevK00yhs3 #China #HunterBiden #JoeBiden #BidenHarris #BidenHarris2020 #TrumpPence2020 #Trump #realDonaldTrump #WTO #coronavirus #trade https://t.co/Wjm1hyTFNZ",comments on this do democrats understand how ruthless china is httpstcoqevk00yhs3 china hunterbiden joebiden bidenharris bidenharris2020 trumppence2020 trump realdonaldtrump wto coronavirus trade httpstcowjm1hytfnz,neutral,0.4938744604587555
18,https://t.co/khrZuHsrQI here is #JoeBiden admitting to it,httpstcokhrzuhsrqi here is joebiden admitting to it,neutral,0.7939907908439636
19,I’m going to share things I like about Biden more. You should too. #BidenCares #Biden #ChickenTrump #KamalaHarris https://t.co/nBTI228sa2,im going to share things i like about biden more you should too bidencares biden chickentrump kamalaharris httpstconbti228sa2,positive,0.813892662525177
20,#HunterBiden #HunterBidenEmails #JoeBiden #JoeBidenMustStepDown https://t.co/R09rW36Qu8,hunterbiden hunterbidenemails joebiden joebidenmuststepdown httpstcor09rw36qu8,neutral,0.7725350856781006
21,"In an effort to find the truth about allegations that @Twitter isn't allowing people to share the link to a @nypost article about Hunter Biden, this is what popped up #NYPost #HunterBiden #Biden #Election2020 https://t.co/yYImdZrOKz",in an effort to find the truth about allegations that twitter isnt allowing people to share the link to a nypost article about hunter biden this is what popped up nypost hunterbiden biden election2020 httpstcoyyimdzrokz,neutral,0.5556772947311401
22,Twitter is doing everything they can to help Democrats win the election. Making sure nobody sees a negative story about Biden. Only Negative stories on Trump. #TwitterCensorship #Biden #Ukraine #HunterBiden https://t.co/dbLKQBMvRU,twitter is doing everything they can to help democrats win the election making sure nobody sees a negative story about biden only negative stories on trump twittercensorship biden ukraine hunterbiden httpstcodblkqbmvru,neutral,0.5721610188484192
23,#JoeBiden calls him a lier and then insults him for being overweight.  Biden shows his low IQ daily.  Maybe Joe should hold town halls in kindergarten.  He’ll be amongst equals and no one will say anything when he takes his afternoon nap https://t.co/Mr2nh102nG,joebiden calls him a lier and then insults him for being overweight  biden shows his low iq daily  maybe joe should hold town halls in kindergarten  hell be amongst equals and no one will say anything when he takes his afternoon nap httpstcomr2nh102ng,negative,0.8395394086837769
24,"@ProjectLincoln @nypost VOTE wisely.
and by wisely I mean for JOE… or else
we will have to see on t.v. for….

#JoeBiden @JoeBiden https://t.co/HB1kGUOdZT","projectlincoln nypost vote wisely
and by wisely i mean for joe or else
we will have to see on tv for

joebiden joebiden httpstcohb1kguodzt",neutral,0.7845470309257507
25,@RealJamesWoods #BidenCrimeFamily #JoeBiden #HunterBiden #HunterBidenEmails https://t.co/ottX1yP37j,realjameswoods bidencrimefamily joebiden hunterbiden hunterbidenemails httpstcoottx1yp37j,neutral,0.8203132748603821
26,VOTE FOR #JoeBiden https://t.co/IIROoL5U0O,vote for joebiden httpstcoiirool5u0o,neutral,0.7891333103179932
27,#Trump is tearing up #Biden at the #TrumpRally over the #HunterBidenEmails,trump is tearing up biden at the trumprally over the hunterbidenemails,negative,0.696517825126648
28,"#Trump #Obama #Clinton #Biden

#ManWomanPersonCameraTV

#RockPaperScissors

#HandsFaceSpace

#VoteJoeBiden 

#USElection #USElection2020

#Pence vs #Harris

#DrugsTest #TrumpDrugs #BidenDrugs

#InjectDisinfectant #PowerfulLight through the skin or some other way 😳🙆🏽‍♂️🤷🏽‍♂️🤦🏽‍♂️ https://t.co/tBqSpgWoR0","trump obama clinton biden

manwomanpersoncameratv

rockpaperscissors

handsfacespace

votejoebiden 

uselection uselection2020

pence vs harris

drugstest trumpdrugs bidendrugs

injectdisinfectant powerfullight through the skin or some other way  httpstcotbqspgwor0",neutral,0.629591166973114
